	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11
YME1L1	13.325260797037	13.3322821569984	13.2906260890187	13.4834161041892	12.7633180206819	13.4944585586808	13.3370970618271	13.0911920090917	12.6678224051361	13.1966912601087	12.7264596767572
NRM	6.66803476175583	7.43863811175451	8.22844578932069	8.01373171789562	6.54855737117347	8.37942319451261	8.40962440245271	8.19626302541278	7.87080942729996	8.14291154511468	8.34195911043814
TOB1	11.8747965313785	11.7767634341697	12.9472640367766	11.623134580813	12.9013030580506	11.8067560584224	12.1647445410822	11.2782655382816	12.2404662526676	11.5235557556612	12.0423988285792
GEMIN7	8.03887245712414	8.63418892087232	8.54530289466063	7.69029373795062	8.13351987189463	8.28447479045735	8.86543474885685	9.02053573790393	7.7618750557468	8.56348722793495	9.17395131199012
GALNT2	12.312885570695	11.8874538249426	11.6863426258549	12.3146825265828	11.2878163382051	12.2912063595948	12.1703165919388	11.5509066954435	12.3920886375629	12.1049621908874	11.563254842219
TTC13	10.0340554408264	9.62399315376643	10.0890427326553	10.1449106368457	10.5632372664786	9.98868429135716	9.68603246911101	10.0898567984078	10.2743250566836	10.2954694145869	10.65567839205
FBXO28	12.2581700720377	12.3686123204761	12.0884618206116	12.1418069532373	12.1643374638844	12.2899847718496	12.3520878362292	11.6166675463432	11.691220502183	11.983181089645	11.5785331473155
PURB	13.0078847646405	13.6549928366843	13.7801596717253	13.0871002272702	13.4777888761556	13.2866200622889	12.9165213790068	13.4121410703223	12.5020195605805	12.7489892722234	13.3987025030676
EBP	8.96992510340665	9.17094232855086	9.59522811999232	9.39131436813535	7.75588234442098	8.79216157770186	9.19679722949407	10.1180766720553	8.68936255596243	9.60435950935048	9.2631036897269
MRPL49	11.1161154560566	10.2191514215935	11.1223415894398	10.8901202251068	10.7257503730798	10.8346718730178	11.5336931782749	11.2176123456062	10.772444297457	10.7241700770724	10.4288199508281
CDC42EP2	10.4430489637712	11.1533267856339	10.2347595632529	11.277143348216	9.50528991726931	11.1735906843379	10.1442848693292	9.89975391502789	12.0187081224123	11.3029380854908	9.43602743479905
CSNK1G3	11.8935330939601	11.470283738371	11.7770987263405	11.4851858647821	11.7902589073841	11.7367510563444	11.6640394088154	11.8385300521398	11.6837743177002	12.0586530583055	11.3860431395126
ANAPC1	11.374203256614	11.6767346158384	11.5845566428684	11.6447336850924	12.3582524316856	11.6631751369818	11.4389016107402	11.5586492634413	11.5672079802192	11.5020866832708	12.0376686766668
CNOT11	10.801575612704	10.8108712884899	10.9437354868354	10.8618962919551	11.067550217977	11.1656199732293	11.0570776072099	10.533987209207	10.9064333370307	10.9246747532695	10.9886773856878
UBE2J2	9.99492910953654	9.60338287409115	10.3044487236756	10.1802992706714	9.97908595219482	10.1209760581745	10.4195362858732	10.5181911203001	10.7078352160339	10.4999220991575	10.199587238977
MAML1	11.6819590042874	11.4415438429299	11.6755531895774	11.8015523331374	11.8353041335076	11.4994876814282	11.5259872275039	11.5431223507976	12.3266596745303	11.5820231793724	12.4221813089322
RPL26	13.9896518974781	13.9717794165748	15.0100355794013	14.2568060876834	14.8210387121894	14.2864669343324	14.6119579562393	15.0843918266994	13.701857506914	14.1618606479157	13.9129989765461
LRP5	13.6590678403231	13.2046860596552	12.7171081192817	13.4145039955072	12.7759764059293	12.8071830807848	12.3351002517632	12.1084382241496	14.1706002350472	13.5546506606962	13.1223883530883
MEGF6	10.6711406726237	10.0313362612553	11.2751390247687	10.6354464411697	10.1313323126569	9.84967403635707	11.3690123304597	11.0036179474704	11.7315014067033	10.8586359917067	12.9493418944116
NFIA	15.3697893352388	14.8038316773678	14.4864400727984	15.0744502575743	14.3856978734638	14.442491895582	14.2755618867477	14.0062154840506	14.5165006069262	14.9767747094282	13.2320400860835
KIF26B	6.56494126879173	7.34242279649521	7.34975208554283	5.78529025188636	8.29857911816513	7.35158898631588	9.31553751505561	8.6854665433285	8.02018705133819	7.16493785144468	9.36731468471503
KRTCAP2	10.8788320446137	10.8810465825495	9.78500786424032	10.741310450052	10.0269409213396	11.1387283271521	10.2867560218591	10.4196005467115	11.1311088654125	10.8313501657856	10.0000692838931
ARPC2	12.9692944170399	13.3431999013031	12.9650949682996	13.2296961858136	12.9486605389188	13.2957781233474	13.0732780327175	13.726427716294	12.8650599945348	13.1170172208195	12.4306252003328
CCT3	12.3463009823164	12.2707114290161	12.389437665993	12.5203982415862	12.8255276838545	12.652283246764	13.1830052844697	12.6954506319011	12.135209375158	12.4988385879981	12.3010978547129
SLC35A1	9.47538968381343	10.5877296097797	11.0785503588376	9.30515772438564	11.2214969512687	10.9689729647294	11.2031533912197	11.0665146146263	9.62083117429161	9.7425955515426	10.7550768555536
MIOS	10.5070212928625	9.88532123764982	10.7921605563378	10.4846415542528	10.9754320159886	11.4078572059626	10.669951652971	10.7790178821823	10.7864172400096	10.8382201551526	11.2964854437112
